buying,maint,doors,persons,lug_boot,safety,cond_class,Predicted
vhigh,vhigh,2,2,small,med,unacc,unacc
vhigh,vhigh,2,2,small,high,unacc,unacc
vhigh,vhigh,2,2,med,low,unacc,unacc
vhigh,vhigh,2,2,med,med,unacc,unacc
vhigh,vhigh,2,2,med,high,unacc,unacc
vhigh,vhigh,2,2,big,low,unacc,unacc
vhigh,vhigh,2,2,big,med,unacc,unacc
vhigh,vhigh,2,2,big,high,unacc,unacc
vhigh,vhigh,2,4,small,low,unacc,unacc
vhigh,vhigh,2,4,small,med,unacc,unacc
vhigh,vhigh,2,4,small,high,unacc,unacc
vhigh,vhigh,2,4,med,low,unacc,unacc
vhigh,vhigh,2,4,med,med,unacc,unacc
vhigh,vhigh,2,4,med,high,unacc,unacc
vhigh,vhigh,2,4,big,low,unacc,unacc
vhigh,vhigh,2,4,big,med,unacc,unacc
vhigh,vhigh,2,4,big,high,unacc,unacc
vhigh,vhigh,2,6,small,low,unacc,unacc
vhigh,vhigh,2,6,small,med,unacc,unacc
vhigh,vhigh,2,6,small,high,unacc,unacc
vhigh,vhigh,2,6,med,low,unacc,unacc
vhigh,vhigh,2,6,med,med,unacc,unacc
vhigh,vhigh,2,6,med,high,unacc,unacc
vhigh,vhigh,2,6,big,low,unacc,unacc
vhigh,vhigh,2,6,big,med,unacc,unacc
vhigh,vhigh,2,6,big,high,unacc,unacc
vhigh,vhigh,3,2,small,low,unacc,unacc
vhigh,vhigh,3,2,small,med,unacc,unacc
vhigh,vhigh,3,2,small,high,unacc,unacc
vhigh,vhigh,3,2,med,low,unacc,unacc
vhigh,vhigh,3,2,med,med,unacc,unacc
vhigh,vhigh,3,2,med,high,unacc,unacc
vhigh,vhigh,3,2,big,low,unacc,unacc
vhigh,vhigh,3,2,big,med,unacc,unacc
vhigh,vhigh,3,2,big,high,unacc,unacc
vhigh,vhigh,3,4,small,low,unacc,unacc
vhigh,vhigh,3,4,small,med,unacc,unacc
vhigh,vhigh,3,4,small,high,unacc,unacc
vhigh,vhigh,3,4,med,low,unacc,unacc
vhigh,vhigh,3,4,med,med,unacc,unacc
vhigh,vhigh,3,4,med,high,unacc,unacc
vhigh,vhigh,3,4,big,low,unacc,unacc
vhigh,vhigh,3,4,big,med,unacc,unacc
vhigh,vhigh,3,4,big,high,unacc,acc
vhigh,vhigh,3,6,small,low,unacc,unacc
vhigh,vhigh,3,6,small,med,unacc,unacc
vhigh,vhigh,3,6,small,high,unacc,unacc
vhigh,vhigh,3,6,med,low,unacc,unacc
vhigh,vhigh,3,6,med,med,unacc,unacc
vhigh,vhigh,3,6,med,high,unacc,unacc
vhigh,vhigh,3,6,big,low,unacc,unacc
vhigh,vhigh,3,6,big,med,unacc,unacc
vhigh,vhigh,3,6,big,high,unacc,unacc
vhigh,vhigh,4,2,small,low,unacc,unacc
vhigh,vhigh,4,2,small,med,unacc,unacc
vhigh,vhigh,4,2,small,high,unacc,unacc
vhigh,vhigh,4,2,med,low,unacc,unacc
vhigh,vhigh,4,2,med,med,unacc,unacc
vhigh,vhigh,4,2,med,high,unacc,unacc
vhigh,vhigh,4,2,big,low,unacc,unacc
vhigh,vhigh,4,2,big,med,unacc,unacc
vhigh,vhigh,4,2,big,high,unacc,unacc
vhigh,vhigh,4,4,small,low,unacc,unacc
vhigh,vhigh,4,4,small,med,unacc,unacc
vhigh,vhigh,4,4,small,high,unacc,unacc
vhigh,vhigh,4,4,med,low,unacc,unacc
vhigh,vhigh,4,4,med,med,unacc,unacc
vhigh,vhigh,4,4,med,high,unacc,unacc
vhigh,vhigh,4,4,big,low,unacc,unacc
vhigh,vhigh,4,4,big,med,unacc,unacc
vhigh,vhigh,4,4,big,high,unacc,acc
vhigh,vhigh,4,6,small,low,unacc,unacc
vhigh,vhigh,4,6,small,med,unacc,unacc
vhigh,vhigh,4,6,small,high,unacc,unacc
vhigh,vhigh,4,6,med,low,unacc,unacc
vhigh,vhigh,4,6,med,med,unacc,unacc
vhigh,vhigh,4,6,med,high,unacc,unacc
vhigh,vhigh,4,6,big,low,unacc,unacc
vhigh,vhigh,4,6,big,med,unacc,unacc
vhigh,vhigh,4,6,big,high,unacc,acc
vhigh,vhigh,5,2,small,low,unacc,unacc
vhigh,vhigh,5,2,small,med,unacc,unacc
vhigh,vhigh,5,2,small,high,unacc,unacc
vhigh,vhigh,5,2,med,low,unacc,unacc
vhigh,vhigh,5,2,med,med,unacc,unacc
vhigh,vhigh,5,2,med,high,unacc,unacc
vhigh,vhigh,5,2,big,low,unacc,unacc
vhigh,vhigh,5,2,big,med,unacc,unacc
vhigh,vhigh,5,2,big,high,unacc,unacc
vhigh,vhigh,5,4,small,low,unacc,unacc
vhigh,vhigh,5,4,small,med,unacc,unacc
vhigh,vhigh,5,4,small,high,unacc,unacc
vhigh,vhigh,5,4,med,low,unacc,unacc
vhigh,vhigh,5,4,med,med,unacc,unacc
vhigh,vhigh,5,4,med,high,unacc,unacc
vhigh,vhigh,5,4,big,low,unacc,unacc
vhigh,vhigh,5,4,big,med,unacc,unacc
vhigh,vhigh,5,4,big,high,unacc,acc
vhigh,vhigh,5,6,small,low,unacc,unacc
vhigh,vhigh,5,6,small,med,unacc,unacc
vhigh,vhigh,5,6,small,high,unacc,unacc
vhigh,vhigh,5,6,med,low,unacc,unacc
vhigh,vhigh,5,6,med,med,unacc,unacc
vhigh,vhigh,5,6,med,high,unacc,unacc
vhigh,vhigh,5,6,big,low,unacc,unacc
vhigh,vhigh,5,6,big,med,unacc,unacc
vhigh,vhigh,5,6,big,high,unacc,acc
vhigh,high,2,2,small,low,unacc,unacc
vhigh,high,2,2,small,med,unacc,unacc
vhigh,high,2,2,small,high,unacc,unacc
vhigh,high,2,2,med,low,unacc,unacc
vhigh,high,2,2,med,med,unacc,unacc
vhigh,high,2,2,med,high,unacc,unacc
vhigh,high,2,2,big,low,unacc,unacc
vhigh,high,2,2,big,med,unacc,unacc
vhigh,high,2,2,big,high,unacc,unacc
vhigh,high,2,4,small,low,unacc,unacc
vhigh,high,2,4,small,med,unacc,unacc
vhigh,high,2,4,small,high,unacc,unacc
vhigh,high,2,4,med,low,unacc,unacc
vhigh,high,2,4,med,med,unacc,unacc
vhigh,high,2,4,med,high,unacc,unacc
vhigh,high,2,4,big,low,unacc,unacc
vhigh,high,2,4,big,med,unacc,unacc
vhigh,high,2,4,big,high,unacc,acc
vhigh,high,2,6,small,low,unacc,unacc
vhigh,high,2,6,small,med,unacc,unacc
vhigh,high,2,6,small,high,unacc,unacc
vhigh,high,2,6,med,low,unacc,unacc
vhigh,high,2,6,med,med,unacc,unacc
vhigh,high,2,6,med,high,unacc,unacc
vhigh,high,2,6,big,low,unacc,unacc
vhigh,high,2,6,big,med,unacc,unacc
vhigh,high,2,6,big,high,unacc,acc
vhigh,high,3,2,small,low,unacc,unacc
vhigh,high,3,2,small,med,unacc,unacc
vhigh,high,3,2,small,high,unacc,unacc
vhigh,high,3,2,med,low,unacc,unacc
vhigh,high,3,2,med,med,unacc,unacc
vhigh,high,3,2,med,high,unacc,unacc
vhigh,high,3,2,big,low,unacc,unacc
vhigh,high,3,2,big,med,unacc,unacc
vhigh,high,3,2,big,high,unacc,unacc
vhigh,high,3,4,small,low,unacc,unacc
vhigh,high,3,4,small,med,unacc,unacc
vhigh,high,3,4,small,high,unacc,unacc
vhigh,high,3,4,med,low,unacc,unacc
vhigh,high,3,4,med,med,unacc,unacc
vhigh,high,3,4,med,high,unacc,acc
vhigh,high,3,4,big,low,unacc,unacc
vhigh,high,3,4,big,med,unacc,unacc
vhigh,high,3,4,big,high,unacc,acc
vhigh,high,3,6,small,low,unacc,unacc
vhigh,high,3,6,small,med,unacc,unacc
vhigh,high,3,6,small,high,unacc,unacc
vhigh,high,3,6,med,low,unacc,unacc
vhigh,high,3,6,med,med,unacc,unacc
vhigh,high,3,6,med,high,unacc,acc
vhigh,high,3,6,big,low,unacc,unacc
vhigh,high,3,6,big,med,unacc,unacc
vhigh,high,3,6,big,high,unacc,acc
vhigh,high,4,2,small,low,unacc,unacc
vhigh,high,4,2,small,med,unacc,unacc
vhigh,high,4,2,small,high,unacc,unacc
vhigh,high,4,2,med,low,unacc,unacc
vhigh,high,4,2,med,med,unacc,unacc
vhigh,high,4,2,med,high,unacc,unacc
vhigh,high,4,2,big,low,unacc,unacc
vhigh,high,4,2,big,med,unacc,unacc
vhigh,high,4,2,big,high,unacc,unacc
vhigh,high,4,4,small,low,unacc,unacc
vhigh,high,4,4,small,med,unacc,unacc
vhigh,high,4,4,small,high,unacc,unacc
vhigh,high,4,4,med,low,unacc,unacc
vhigh,high,4,4,med,med,unacc,unacc
vhigh,high,4,4,med,high,unacc,acc
vhigh,high,4,4,big,low,unacc,unacc
vhigh,high,4,4,big,med,unacc,unacc
vhigh,high,4,4,big,high,unacc,acc
vhigh,high,4,6,small,low,unacc,unacc
vhigh,high,4,6,small,med,unacc,unacc
vhigh,high,4,6,small,high,unacc,unacc
vhigh,high,4,6,med,low,unacc,unacc
vhigh,high,4,6,med,med,unacc,unacc
vhigh,high,4,6,med,high,unacc,acc
vhigh,high,4,6,big,low,unacc,unacc
vhigh,high,4,6,big,med,unacc,unacc
vhigh,high,4,6,big,high,unacc,acc
vhigh,high,5,2,small,low,unacc,unacc
vhigh,high,5,2,small,med,unacc,unacc
vhigh,high,5,2,small,high,unacc,unacc
vhigh,high,5,2,med,low,unacc,unacc
vhigh,high,5,2,med,med,unacc,unacc
vhigh,high,5,2,med,high,unacc,unacc
vhigh,high,5,2,big,low,unacc,unacc
vhigh,high,5,2,big,med,unacc,unacc
vhigh,high,5,2,big,high,unacc,unacc
vhigh,high,5,4,small,low,unacc,unacc
vhigh,high,5,4,small,med,unacc,unacc
vhigh,high,5,4,small,high,unacc,unacc
vhigh,high,5,4,med,low,unacc,unacc
vhigh,high,5,4,med,med,unacc,unacc
vhigh,high,5,4,med,high,unacc,acc
vhigh,high,5,4,big,low,unacc,unacc
vhigh,high,5,4,big,med,unacc,unacc
vhigh,high,5,4,big,high,unacc,acc
vhigh,high,5,6,small,low,unacc,unacc
vhigh,high,5,6,small,med,unacc,unacc
vhigh,high,5,6,small,high,unacc,unacc
vhigh,high,5,6,med,low,unacc,unacc
vhigh,high,5,6,med,med,unacc,unacc
vhigh,high,5,6,med,high,unacc,acc
vhigh,high,5,6,big,low,unacc,unacc
vhigh,high,5,6,big,med,unacc,unacc
vhigh,high,5,6,big,high,unacc,acc
vhigh,med,2,2,small,low,unacc,unacc
vhigh,med,2,2,small,med,unacc,unacc
vhigh,med,2,2,small,high,unacc,unacc
vhigh,med,2,2,med,low,unacc,unacc
vhigh,med,2,2,med,med,unacc,unacc
vhigh,med,2,2,med,high,unacc,unacc
vhigh,med,2,2,big,low,unacc,unacc
vhigh,med,2,2,big,med,unacc,unacc
vhigh,med,2,2,big,high,unacc,unacc
vhigh,med,2,4,small,low,unacc,unacc
vhigh,med,2,4,small,med,unacc,unacc
vhigh,med,2,4,small,high,acc,unacc
vhigh,med,2,4,med,low,unacc,unacc
vhigh,med,2,4,med,med,unacc,unacc
vhigh,med,2,4,med,high,acc,acc
vhigh,med,2,4,big,low,unacc,unacc
vhigh,med,2,4,big,med,acc,unacc
vhigh,med,2,4,big,high,acc,acc
vhigh,med,2,6,small,low,unacc,unacc
vhigh,med,2,6,small,med,unacc,unacc
vhigh,med,2,6,small,high,unacc,unacc
vhigh,med,2,6,med,low,unacc,unacc
vhigh,med,2,6,med,med,unacc,unacc
vhigh,med,2,6,med,high,acc,unacc
vhigh,med,2,6,big,low,unacc,unacc
vhigh,med,2,6,big,med,acc,unacc
vhigh,med,2,6,big,high,acc,acc
vhigh,med,3,2,small,low,unacc,unacc
vhigh,med,3,2,small,med,unacc,unacc
vhigh,med,3,2,small,high,unacc,unacc
vhigh,med,3,2,med,low,unacc,unacc
vhigh,med,3,2,med,med,unacc,unacc
vhigh,med,3,2,med,high,unacc,unacc
vhigh,med,3,2,big,low,unacc,unacc
vhigh,med,3,2,big,med,unacc,unacc
vhigh,med,3,2,big,high,unacc,unacc
vhigh,med,3,4,small,low,unacc,unacc
vhigh,med,3,4,small,med,unacc,unacc
vhigh,med,3,4,small,high,acc,unacc
vhigh,med,3,4,med,low,unacc,unacc
vhigh,med,3,4,med,med,unacc,unacc
vhigh,med,3,4,med,high,acc,acc
vhigh,med,3,4,big,low,unacc,unacc
vhigh,med,3,4,big,med,acc,acc
vhigh,med,3,4,big,high,acc,acc
vhigh,med,3,6,small,low,unacc,unacc
vhigh,med,3,6,small,med,unacc,unacc
vhigh,med,3,6,small,high,acc,unacc
vhigh,med,3,6,med,low,unacc,unacc
vhigh,med,3,6,med,med,acc,unacc
vhigh,med,3,6,med,high,acc,acc
vhigh,med,3,6,big,low,unacc,unacc
vhigh,med,3,6,big,med,acc,unacc
vhigh,med,3,6,big,high,acc,acc
vhigh,med,4,2,small,low,unacc,unacc
vhigh,med,4,2,small,med,unacc,unacc
vhigh,med,4,2,small,high,unacc,unacc
vhigh,med,4,2,med,low,unacc,unacc
vhigh,med,4,2,med,med,unacc,unacc
vhigh,med,4,2,med,high,unacc,unacc
vhigh,med,4,2,big,low,unacc,unacc
vhigh,med,4,2,big,med,unacc,unacc
vhigh,med,4,2,big,high,unacc,unacc
vhigh,med,4,4,small,low,unacc,unacc
vhigh,med,4,4,small,med,unacc,unacc
vhigh,med,4,4,small,high,acc,unacc
vhigh,med,4,4,med,low,unacc,unacc
vhigh,med,4,4,med,med,acc,unacc
vhigh,med,4,4,med,high,acc,acc
vhigh,med,4,4,big,low,unacc,unacc
vhigh,med,4,4,big,med,acc,acc
vhigh,med,4,4,big,high,acc,acc
vhigh,med,4,6,small,low,unacc,unacc
vhigh,med,4,6,small,med,unacc,unacc
vhigh,med,4,6,small,high,acc,unacc
vhigh,med,4,6,med,low,unacc,unacc
vhigh,med,4,6,med,med,acc,unacc
vhigh,med,4,6,med,high,acc,acc
vhigh,med,4,6,big,low,unacc,unacc
vhigh,med,4,6,big,med,acc,acc
vhigh,med,4,6,big,high,acc,acc
vhigh,med,5,2,small,low,unacc,unacc
vhigh,med,5,2,small,med,unacc,unacc
vhigh,med,5,2,small,high,unacc,unacc
vhigh,med,5,2,med,low,unacc,unacc
vhigh,med,5,2,med,med,unacc,unacc
vhigh,med,5,2,med,high,unacc,unacc
vhigh,med,5,2,big,low,unacc,unacc
vhigh,med,5,2,big,med,unacc,unacc
vhigh,med,5,2,big,high,unacc,unacc
vhigh,med,5,4,small,low,unacc,unacc
vhigh,med,5,4,small,med,unacc,unacc
vhigh,med,5,4,small,high,acc,unacc
vhigh,med,5,4,med,low,unacc,unacc
vhigh,med,5,4,med,med,acc,unacc
vhigh,med,5,4,med,high,acc,acc
vhigh,med,5,4,big,low,unacc,unacc
vhigh,med,5,4,big,med,acc,acc
vhigh,med,5,4,big,high,acc,acc
vhigh,med,5,6,small,low,unacc,unacc
vhigh,med,5,6,small,med,unacc,unacc
vhigh,med,5,6,small,high,acc,unacc
vhigh,med,5,6,med,low,unacc,unacc
vhigh,med,5,6,med,med,acc,unacc
vhigh,med,5,6,med,high,acc,acc
vhigh,med,5,6,big,low,unacc,unacc
vhigh,med,5,6,big,med,acc,acc
vhigh,med,5,6,big,high,acc,acc
vhigh,low,2,2,small,low,unacc,unacc
vhigh,low,2,2,small,med,unacc,unacc
vhigh,low,2,2,small,high,unacc,unacc
